Brand,Model,Storage,Color,Price,Sale Date,Payment Method,Customer Name,Store Location
OnePlus,9R,256GB,Red,29281.31,08-03-2025,Debit Card,Joy Mercado,West Juan
Google,Pixel 8,128GB,White,80615.75,21-11-2024,Cash,Michael Snyder,Jasonfort
Samsung,Galaxy S21,256GB,Red,41886.78,15-07-2024,Cash,Michael Stafford,Shieldston
Apple,iPhone 15,256GB,Gold,18857.61,12-03-2025,Cash,Ashley Coleman,Lake Matthew
Oppo,Reno6,64GB,White,27118.8,19-06-2024,Cash,Melissa Marshall,West Michael
Vivo,V21,128GB,Red,32482.58,14-11-2024,Credit Card,Ryan Bryant,Sanchezfort
Nokia,G21,64GB,Gold,99935.42,17-02-2025,Credit Card,Joseph Hansen,Herrerafurt
OnePlus,Nord 2,128GB,Red,53322.26,13-08-2024,Cash,Stephanie Salazar,Lake Roberto
Xiaomi,Mi 11X,64GB,Red,33868.28,16-01-2025,Cash,Jessica Meadows,Teresaburgh
Vivo,T1,256GB,Silver,60019.15,02-10-2024,Cash,Natasha Wells,New Jessica
OnePlus,9R,64GB,Black,62126.23,21-07-2024,Net Banking,Sara Ramirez,Lake Roberto
Oppo,Reno6,64GB,Green,52910.97,08-02-2025,Net Banking,Lori Hill,South Noah
Apple,iPhone 15,64GB,Silver,26724.25,12-05-2024,Net Banking,Cynthia Rogers,Ericmouth
OnePlus,9R,64GB,Green,32159.38,24-03-2025,Net Banking,Brenda Hall,Robinsonshire
Google,Pixel 6,128GB,Gold,62530.51,06-01-2025,Net Banking,Daniel Perry,New Mariotown
Realme,Narzo 50,256GB,Gold,38276.55,18-08-2024,UPI,Jennifer Clark,West Andrewside
Xiaomi,Redmi 10,256GB,Blue,51150.21,22-09-2024,Credit Card,Randy Shah,East Jill
Motorola,G31,256GB,Black,16593.46,19-04-2024,Debit Card,Pamela James,Mortonside
Realme,Narzo 50,128GB,Black,89134.32,14-04-2024,UPI,Elizabeth Price,Teresaburgh
Xiaomi,Mi 11X,256GB,Gold,37226.54,24-03-2025,Net Banking,Jennifer Adkins,East Jill
Nokia,X20,256GB,Black,94503.7,10-11-2024,Debit Card,Stephanie Freeman,Lake Nicoleview
Samsung,Galaxy S21,256GB,Green,23990.31,26-07-2024,UPI,Allen Rogers,Port Jacobland
OnePlus,11R,128GB,White,71874.74,31-12-2024,UPI,Misty Pittman,Mortonside
Motorola,Edge 20,64GB,Black,67085.6,04-04-2025,UPI,Marcus Johnson,Robinsonshire
Apple,iPhone 14,64GB,Gold,98181.82,12-09-2024,Debit Card,Mary Miller,Williamview
Motorola,G31,256GB,Red,60481.62,25-09-2024,Credit Card,Joel Williams,North Noahstad
Xiaomi,Redmi 10,64GB,Silver,43229.44,06-09-2024,Net Banking,Jesse Rogers,Jacquelineland
Vivo,V21,64GB,Blue,42818.64,19-03-2025,Credit Card,Paul Decker,West Allison
OnePlus,11R,64GB,Gold,19251.43,18-07-2024,Net Banking,Julie Curry,Lake Crystalbury
Google,Pixel 8,64GB,White,87814.51,02-05-2024,Debit Card,Mrs. Marie Harrington DDS,Lake Crystalbury
Apple,iPhone 13,256GB,Blue,80414.78,29-01-2025,Cash,David Combs,South Christineshire
OnePlus,9R,64GB,Silver,73115.04,09-12-2024,Cash,Cameron Caldwell,Lake Debra
Motorola,Moto G60,64GB,Silver,92660.67,17-11-2024,UPI,Julie Scott,New Stephanie
OnePlus,Nord 2,64GB,Gold,27381.68,02-09-2024,UPI,Lawrence Adkins,South Aaron
Samsung,Galaxy S22,128GB,Gold,55846.51,26-05-2024,Net Banking,Carla Collins,North John
Apple,iPhone 13,128GB,White,62253.08,22-11-2024,UPI,Eric Byrd,Lake Debra
Samsung,Galaxy A52,128GB,Blue,75569.06,04-09-2024,UPI,Miguel Jones,New David
Google,Pixel 8,64GB,Red,90955.43,05-01-2025,Debit Card,Dana Terry,Tashatown
Apple,iPhone 15,128GB,Black,56792.83,07-08-2024,Net Banking,Lindsay Martinez,Davidstad
OnePlus,9R,128GB,Black,95398.7,17-11-2024,UPI,Hannah Patterson,New Brooke
Oppo,F19,64GB,Gold,91004.22,02-09-2024,Net Banking,Matthew Smith,New Stephanie
Vivo,Y33s,128GB,Gold,36608.97,22-09-2024,Debit Card,Ashley Yu,Jasonfort
Vivo,T1,128GB,Gold,77332.11,14-12-2024,Debit Card,Julia Hernandez,South David
Google,Pixel 7,128GB,Green,85035.27,19-06-2024,UPI,Tracie Nelson,Teresaburgh
OnePlus,9R,256GB,Green,68923.51,19-02-2025,Cash,Patricia Marshall,Sanchezfort
Motorola,G31,64GB,Green,52586.76,26-02-2025,Debit Card,Debra Christian,Stewartland
Samsung,Galaxy S22,256GB,Gold,66964.68,28-02-2025,UPI,Diana Hayes,Herrerafurt
OnePlus,11R,128GB,White,82590.66,28-01-2025,Debit Card,Leonard Gray,East Jessetown
Apple,iPhone 13,128GB,Green,86476.39,23-04-2024,Credit Card,Frederick Freeman MD,Gomezchester
Vivo,T1,256GB,White,74651.13,21-07-2024,Cash,Spencer Haynes,Stevenland
Vivo,V21,64GB,Gold,71886.02,28-07-2024,Credit Card,Kellie Lee,Lake Rebeccaside
Vivo,V21,64GB,Silver,96216.94,14-07-2024,Net Banking,Katherine Chang,Shieldston
Apple,iPhone 15,64GB,Silver,20922.27,05-01-2025,Debit Card,Michael West,Shieldston
Nokia,C30,256GB,Blue,95503.56,18-04-2024,Cash,Daniel Holt,South David
Nokia,X20,256GB,Red,90748.73,08-08-2024,Cash,Jackie Tran,Leeville
Realme,Narzo 50,256GB,Blue,78923.23,23-08-2024,Net Banking,Patrick Rivera,Taylorburgh
OnePlus,9R,128GB,Black,74219.04,09-01-2025,Debit Card,Eric Hall,Danielchester
Oppo,A74,256GB,Black,22453.67,17-01-2025,Debit Card,Bryan Herrera,Martinezbury
Xiaomi,Redmi 10,64GB,Black,47338.11,02-02-2025,UPI,Cheryl Rodgers,East Nicholasfurt
Motorola,Edge 20,64GB,White,84960.21,28-07-2024,Cash,Vanessa Warren,Hoffmanville
Google,Pixel 8,64GB,Silver,89259.1,30-07-2024,Net Banking,Dr. Elizabeth Ward,Samuelhaven
Motorola,Moto G60,128GB,Blue,77812.76,07-08-2024,Cash,Joseph Hill,Port Richard
Nokia,C30,64GB,Red,29747.95,03-05-2024,Cash,Melissa Martinez,Taylorburgh
Apple,iPhone 14,128GB,Gold,71122.77,15-03-2025,Cash,Ashley Smith,West Juan
Xiaomi,Mi 11X,64GB,Green,58071.13,31-07-2024,Cash,Jeremiah Lopez,Shawhaven
Google,Pixel 8,64GB,Black,67847.47,01-05-2024,Debit Card,Scott Wilson,Shieldston
Xiaomi,Redmi Note 11,128GB,Red,39461.74,07-05-2024,Cash,Benjamin Soto,West Natashaport
Oppo,A74,128GB,Silver,95608.37,02-05-2024,Cash,Robert Avery,Tashatown
Samsung,Galaxy S22,64GB,Gold,58547.71,15-05-2024,UPI,Bailey Duran DDS,Coxberg
Samsung,Galaxy A52,64GB,Silver,12792.7,13-02-2025,Debit Card,Patricia James,Wilkersonmouth
Apple,iPhone 15,64GB,White,21359.89,30-03-2025,Credit Card,Scott Branch,Mooreport
OnePlus,9R,256GB,Blue,79020.83,08-08-2024,Debit Card,Amy Choi,Port Jacobland
Google,Pixel 8,256GB,Black,80001.27,20-05-2024,Debit Card,Christine Clark,New Stephanie
Samsung,Galaxy A52,64GB,Blue,61821.71,24-12-2024,Cash,David Arnold,West Andrewside
OnePlus,Nord 2,256GB,Gold,84751.45,11-06-2024,Debit Card,Jerry Wheeler,Lake Chad
Realme,Realme GT,256GB,Silver,20894.96,03-08-2024,Net Banking,Dwayne Campbell,Robinsonshire
Oppo,F19,128GB,Gold,43351.38,11-03-2025,Net Banking,Michael Bradshaw,Johnfurt
Oppo,Reno6,128GB,Silver,54118.15,11-02-2025,Cash,Leah Lara,Brandtside
Motorola,G31,64GB,Red,25852.33,27-06-2024,Net Banking,Joshua Holland,Lake Debbie
Realme,Realme GT,256GB,Silver,53514.78,30-03-2025,Cash,Charles Brown,Lake Matthew
Google,Pixel 7,128GB,Silver,32094.57,13-02-2025,Credit Card,Paul Carroll,South Aaron
Motorola,Moto G60,128GB,Green,64929.85,02-08-2024,Cash,John Torres,North Jessicaland
Apple,iPhone 14,128GB,White,53879.49,15-09-2024,UPI,Kathryn Snyder,Lake Nicoleview
Oppo,A74,256GB,Gold,89209.66,13-05-2024,Net Banking,Stacy Navarro,East Jill
Nokia,G21,64GB,White,74806.72,02-12-2024,Cash,Brandon Hayden,Rodneyside
OnePlus,11R,128GB,Gold,74065.82,02-03-2025,Cash,Laurie Smith,New Roberttown
Samsung,Galaxy S22,64GB,Red,72260.84,03-02-2025,UPI,Debra Williams,Stewartland
Google,Pixel 7,128GB,Green,57782.97,30-01-2025,Cash,Joseph Ramos,North Cynthiaview
Nokia,X20,128GB,Gold,50837.07,29-07-2024,UPI,Kevin Walters,Tashatown
OnePlus,Nord 2,256GB,White,38399.31,19-10-2024,Net Banking,Julie Ortiz,Evanmouth
Xiaomi,Redmi Note 11,64GB,Gold,53577.87,14-08-2024,Net Banking,Shannon Rivera,Evanmouth
Nokia,C30,128GB,Black,84936.55,06-01-2025,UPI,Matthew Morales DDS,Daviston
Oppo,Reno6,128GB,Black,73721.66,26-04-2024,Debit Card,Ernest Morris,South Aaron
Apple,iPhone 13,256GB,Blue,72767.57,06-02-2025,Debit Card,Jose Travis,Sarahborough
Motorola,Moto G60,64GB,Green,35590.54,23-12-2024,Cash,Julia Brown,Sanchezfort
Oppo,Reno6,64GB,Blue,94695.72,30-10-2024,Cash,Peter Garrett,Port Keith
Samsung,Galaxy S22,128GB,Black,61931.9,01-02-2025,Credit Card,Derek Anderson,New Jessica
Xiaomi,Redmi 10,128GB,Black,99452.63,01-08-2024,Credit Card,Michael Martinez,Rodneyside
Vivo,T1,256GB,Silver,65657.65,12-12-2024,Net Banking,Cynthia Moore,Samuelhaven
Motorola,Edge 20,128GB,Silver,62967.26,11-11-2024,Cash,Jason Walker,New Stephanie
Google,Pixel 8,64GB,Green,96409.79,04-03-2025,Credit Card,Julia Wilson,Evanmouth
OnePlus,11R,64GB,Blue,69438.53,01-03-2025,Debit Card,Timothy Carter,East Courtneychester
Xiaomi,Redmi 10,64GB,White,10240.82,10-01-2025,Cash,Ruben Baird,East Mikeburgh
Google,Pixel 7,128GB,Black,30832.86,15-07-2024,UPI,Charles Lee,Bassport
Motorola,Moto G60,256GB,White,93151.99,30-11-2024,Net Banking,Sherry Shields,Stewartland
OnePlus,9R,64GB,Green,30232.85,28-07-2024,Debit Card,Sarah Morgan,Danielchester
Xiaomi,Redmi Note 11,64GB,White,81336.57,11-02-2025,Net Banking,Samantha Campbell,North Cynthiaview
Google,Pixel 7,128GB,Black,52182.82,05-08-2024,UPI,Lauren Keller,Bassport
Vivo,Y33s,256GB,Green,54441.57,14-03-2025,Credit Card,Joshua Reed,North Susan
Apple,iPhone 14,256GB,Blue,64334.23,12-11-2024,Credit Card,Jamie Cantu,Herrerafurt
OnePlus,11R,256GB,Green,95570.77,15-03-2025,UPI,Michael Armstrong,North Beth
Apple,iPhone 13,128GB,Green,68635.85,11-07-2024,UPI,Jennifer Flores,Adamsborough
Google,Pixel 7,256GB,Silver,54255.32,12-10-2024,Credit Card,Roberta Hughes,North Richardmouth
Oppo,A74,128GB,Blue,70312.02,25-12-2024,Debit Card,Marissa Hernandez,North John
Vivo,T1,128GB,Blue,69632.52,26-04-2024,Cash,Vincent Rivera,Evanmouth
Nokia,G21,128GB,Black,38306.54,20-05-2024,UPI,Jessica Fox,Port Keith
Vivo,T1,64GB,Gold,88243.07,06-10-2024,Cash,Charles Pitts,Lake Crystalbury
Apple,iPhone 13,256GB,Blue,66037.05,10-06-2024,Cash,Richard Baker,South Dianeshire
Motorola,Moto G60,64GB,Blue,59429.77,10-12-2024,UPI,Marie Christian,Sanchezfort
Motorola,Moto G60,64GB,Gold,64798.45,09-03-2025,Debit Card,Kimberly Finley,Lake Lisaport
Xiaomi,Mi 11X,256GB,Black,59702.63,11-12-2024,Credit Card,Olivia Brennan,Coxberg
Samsung,Galaxy S22,64GB,Gold,84892.89,25-04-2024,Cash,Cynthia Cohen,East Josephville
Realme,Realme GT,256GB,Blue,47394.13,01-08-2024,Cash,Nicole Hamilton MD,North Richardmouth
OnePlus,9R,256GB,White,44522.74,14-12-2024,Net Banking,Ashlee Jackson,North Deniseside
Xiaomi,Redmi Note 11,128GB,Silver,81100.56,06-08-2024,Cash,Amber Flynn,North Jessicaland
Nokia,X20,64GB,Blue,75344.59,03-08-2024,Net Banking,Jeffrey Sanchez,Lake Leeton
Motorola,Moto G60,128GB,Green,53590.72,19-09-2024,UPI,Rebecca Jackson,Saramouth
Nokia,X20,128GB,Blue,88264.15,12-05-2024,Debit Card,Janet Vega,North Beth
Vivo,V21,128GB,Black,38635.87,22-10-2024,Cash,Briana Murray,Lake Lisaport
Vivo,Y33s,256GB,Silver,83867.28,19-07-2024,Debit Card,Michael Nolan,Stevenland
Apple,iPhone 13,256GB,Green,39879.52,09-10-2024,Credit Card,Megan Moore,Sanchezfort
Samsung,Galaxy A52,128GB,Black,75019.94,30-09-2024,Cash,Victoria Evans,Lake Debbie
Xiaomi,Redmi Note 11,128GB,Silver,97228.33,23-09-2024,UPI,Joyce Turner,New Brooke
Vivo,T1,64GB,Silver,39570.9,08-09-2024,Net Banking,Ashley James,Samuelhaven
Oppo,F19,256GB,Silver,53915.27,29-08-2024,Net Banking,Wendy Phillips,Lake Debra
Google,Pixel 6,64GB,Gold,71595.96,28-02-2025,UPI,Denise Knight,Daviston
Samsung,Galaxy S22,64GB,Silver,67037.3,03-01-2025,Credit Card,Valerie Lozano,Sanchezfort
Xiaomi,Redmi 10,128GB,Black,14139.19,26-01-2025,Credit Card,Tanner Mitchell DDS,Port Colleenhaven
Oppo,A74,128GB,White,31977.77,03-12-2024,Cash,Colleen Lee,Mooreport
Xiaomi,Redmi Note 11,64GB,Black,64854.26,18-07-2024,Cash,Michelle Hopkins,New Brooke
OnePlus,9R,256GB,White,30896.96,03-03-2025,UPI,Brent Burton,Gomezchester
Realme,Realme GT,64GB,Silver,51872.79,27-04-2024,UPI,Jeremiah Riley,North Amandahaven
Nokia,G21,64GB,Red,95071.21,21-01-2025,Net Banking,Theodore Murphy,East Nathaniel
Vivo,T1,128GB,Red,86077.35,20-09-2024,Debit Card,Carlos Ryan,Martinezbury
Motorola,Moto G60,64GB,Red,61473.04,01-09-2024,Net Banking,Susan Rivas,Port Colleenhaven
Realme,Narzo 50,256GB,Red,34703.23,20-07-2024,Net Banking,Terry Coffey,Davidstad
Apple,iPhone 15,256GB,Red,84955.5,04-08-2024,UPI,Gina Wilson,Lake Rebeccaside
OnePlus,11R,128GB,White,67295.61,11-05-2024,Net Banking,Vincent Dalton,Tashatown
Xiaomi,Redmi 10,64GB,Gold,68170.65,18-01-2025,UPI,Jennifer Singleton,Sanchezfort
Apple,iPhone 15,128GB,Gold,21827.06,14-11-2024,UPI,Richard Smith,West Natashaport
Vivo,V21,64GB,White,80786.15,06-11-2024,UPI,Jacob Curry,South Todd
Nokia,X20,64GB,Blue,92264.41,22-07-2024,Cash,Samantha Bentley,Port Colleenhaven
Oppo,Reno6,128GB,Black,22668.13,24-05-2024,Debit Card,Kaitlyn Harvey,North Amandahaven
Vivo,T1,128GB,Black,81161.38,16-11-2024,Credit Card,Leonard Holland,Lake Nicoleview
Nokia,G21,128GB,Blue,70554.55,14-12-2024,UPI,Susan Turner,Lake Leeton
Vivo,T1,128GB,Black,70735.29,17-09-2024,Cash,Andrew Johnson,East Jessetown
Google,Pixel 8,128GB,Green,29923.05,20-10-2024,Credit Card,David Medina,Sarahborough
Motorola,G31,128GB,Gold,46746.63,09-09-2024,Debit Card,Michael Paul,Robinsonshire
Apple,iPhone 14,128GB,Black,18747.28,07-11-2024,Net Banking,Patrick Moore,West Michael
Vivo,Y33s,128GB,Gold,95444.27,20-09-2024,Net Banking,Sandra Gilbert,North Micheleland
Google,Pixel 8,256GB,White,89687.24,11-04-2025,Credit Card,Amanda Wood,Taylorburgh
Google,Pixel 7,128GB,Black,72125.26,01-10-2024,Debit Card,David Cox,Sanchezfort
Motorola,Moto G60,128GB,Black,98283.49,03-01-2025,UPI,Steven Newman,East Nicholasfurt
Oppo,Reno6,128GB,Blue,27082.77,05-05-2024,Credit Card,Colton Martinez,Gomezchester
Samsung,Galaxy A52,64GB,Gold,67554.36,07-03-2025,Credit Card,Anna Lewis,Lisatown
Oppo,Reno6,64GB,Silver,60812.02,16-12-2024,Credit Card,Alison Buchanan,Evanmouth
Nokia,G21,256GB,White,83174.77,15-07-2024,Debit Card,Rachel Harris DVM,North John
Xiaomi,Redmi 10,64GB,Blue,87256.55,13-11-2024,Debit Card,Daniel Kane,Ramirezstad
Nokia,X20,64GB,Black,69495.19,17-08-2024,Credit Card,Rachel Carlson,Ramirezstad
Apple,iPhone 14,64GB,Green,39139.43,28-07-2024,Debit Card,Brianna Anderson,Lake Nicoleview
Apple,iPhone 13,256GB,Red,57347.7,18-07-2024,Credit Card,Ashley Delacruz,North Richardmouth
Motorola,Edge 20,256GB,Green,19814.86,02-06-2024,Net Banking,Richard Young,Coxberg
Google,Pixel 6,256GB,Silver,91787.65,15-08-2024,Net Banking,Derek Martinez,East Nathaniel
Motorola,G31,64GB,Black,99872.81,22-09-2024,Cash,Nichole Alvarez,West Elizabeth
Samsung,Galaxy S22,256GB,Red,16614.16,08-02-2025,Credit Card,Kevin Hayes,West Natashaport
Google,Pixel 6,64GB,White,34751.44,07-07-2024,Net Banking,Amanda Logan,Saramouth
Oppo,A74,256GB,Green,36540.8,14-03-2025,Net Banking,Elizabeth Schneider,Port Jacobland
Vivo,V21,256GB,Black,86751.35,24-04-2024,Net Banking,John Morales,West Juan
OnePlus,9R,128GB,White,47243.22,03-01-2025,Cash,Micheal Wallace,New Jeffrey
Vivo,T1,64GB,Blue,48408.76,27-03-2025,UPI,Lee Jones,Lake Larry
Xiaomi,Redmi 10,128GB,Black,18210.23,27-07-2024,Credit Card,Lauren Joseph,Herrerafurt
Vivo,V21,256GB,Gold,43538.22,06-09-2024,Debit Card,Kerry Chavez DDS,Rodneyside
Apple,iPhone 15,256GB,Green,39668.14,20-05-2024,Credit Card,Ashley Pena,Lake Crystalbury
Oppo,F19,128GB,Silver,92425.93,18-03-2025,Credit Card,Michelle Lewis,Teresaburgh
Google,Pixel 7,128GB,Black,62012.67,04-10-2024,Debit Card,Jennifer Wilcox,New Jessica
Motorola,Moto G60,64GB,Blue,86083.61,13-09-2024,UPI,Brandon Simmons,Port Keith
Realme,Realme GT,64GB,Silver,48620.12,26-12-2024,Net Banking,Troy Mcdaniel,Hoffmanville
Google,Pixel 8,256GB,Gold,60106.58,13-10-2024,Net Banking,Ronald Davis,Stewartland
Realme,Narzo 50,64GB,Blue,73242.89,19-05-2024,UPI,Jacqueline Anderson,North Jessicaland
Oppo,Reno6,64GB,Silver,22892.63,05-05-2024,Cash,Kristina Rivera,Ericmouth
Xiaomi,Redmi 10,256GB,Black,18258.19,29-05-2024,Net Banking,Shane Pugh,Juliechester
Vivo,Y33s,128GB,Blue,24166.83,23-09-2024,UPI,Michelle Schmitt,West Juan
Oppo,F19,256GB,Black,89500.8,01-12-2024,Debit Card,Brian Romero,South Noah
Google,Pixel 6,256GB,Black,34489.26,11-06-2024,Cash,Courtney Rodriguez,Taylorburgh
Google,Pixel 7,128GB,Blue,29401.21,06-03-2025,Net Banking,Ashley Ramirez,Port Keith
Oppo,A74,64GB,Blue,71039.61,08-07-2024,Net Banking,Sarah Villegas,Taylorburgh
Nokia,C30,128GB,Black,29846.66,23-02-2025,Net Banking,Megan Hawkins,Lake Roberto
Apple,iPhone 13,128GB,White,79061.46,04-12-2024,UPI,Sandra Adams,Port Colleenhaven
Oppo,Reno6,64GB,Red,77231.27,21-06-2024,Debit Card,Phillip Dorsey,Ramirezstad
Vivo,T1,256GB,White,55023.61,26-08-2024,UPI,Sergio Knight,North Noahstad
Vivo,T1,64GB,Red,11686.74,14-09-2024,Credit Card,Patrick Bonilla,New Mariotown
Google,Pixel 7,256GB,Red,73854.91,17-05-2024,Cash,Cindy Barnes,Port Colleenhaven
Samsung,Galaxy S22,64GB,Blue,25468.59,22-08-2024,Net Banking,Eric Nguyen,Gomezchester
Oppo,Reno6,128GB,Silver,19527.68,12-04-2025,Cash,Angela Williams,Shawhaven
Vivo,T1,64GB,Red,88347.2,12-06-2024,UPI,Amber Miller,Coxberg
Oppo,Reno6,64GB,Green,66990.22,01-10-2024,Net Banking,Karla Ramos,North Deniseside
OnePlus,9R,128GB,Gold,96240.1,27-07-2024,Debit Card,Jose Reed,East Courtneychester
Samsung,Galaxy S21,128GB,White,25614.91,25-05-2024,Debit Card,Michael Tucker,Evanmouth
Samsung,Galaxy S21,256GB,Red,51755.78,27-12-2024,Net Banking,Daniel Joyce,Evanmouth
Google,Pixel 7,256GB,Green,67869.26,03-05-2024,Net Banking,Eric Clark,West Natashaport
Oppo,Reno6,128GB,Black,52202.9,04-06-2024,UPI,Donna Wilson,South Aaron
Google,Pixel 6,128GB,Green,16677.16,22-10-2024,Cash,Casey James,Leeville
Apple,iPhone 13,128GB,Silver,35836.93,10-01-2025,Credit Card,Justin Barnett,South David
Google,Pixel 8,128GB,Red,62229.65,27-08-2024,Credit Card,Scott Williams,Leeville
Google,Pixel 8,64GB,Blue,64450.53,19-04-2024,Net Banking,Blake Edwards,New Jessica
Apple,iPhone 14,64GB,Silver,90921.42,25-09-2024,UPI,Michelle Butler,East Josephville
Samsung,Galaxy A52,256GB,White,13522.79,26-05-2024,Cash,Vincent Jackson,Sanchezfort
Nokia,C30,256GB,White,42750.82,08-12-2024,UPI,Michael Cox,Martinezbury
Vivo,Y33s,256GB,Green,14712.9,28-09-2024,UPI,Dana Chapman,Ericmouth
Oppo,Reno6,256GB,Gold,44790.78,01-11-2024,UPI,Seth Reese,West Juan
Google,Pixel 6,128GB,Black,62446.56,07-07-2024,Debit Card,Christopher Dixon,East Donna
Realme,Realme GT,256GB,Gold,45276.22,26-05-2024,Net Banking,Cheyenne Parsons,Lake Lisaport
Samsung,Galaxy S22,256GB,Red,67914.39,26-08-2024,UPI,Sabrina Briggs,Ramirezstad
Nokia,G21,256GB,Gold,48106.57,12-07-2024,UPI,David Thompson,New Roberttown
Oppo,A74,64GB,White,40755.91,10-06-2024,Cash,Mary Thompson,Jasonfort
OnePlus,Nord 2,64GB,Black,36621.29,06-02-2025,Credit Card,Julie Elliott,Mortonside
Nokia,C30,256GB,Black,69573.63,23-11-2024,Net Banking,Thomas Cunningham,Ramirezstad
Google,Pixel 7,64GB,White,26276.14,14-12-2024,Net Banking,Mrs. Tricia Stewart,Lake Mark
Motorola,Moto G60,128GB,Blue,70872.66,29-09-2024,Debit Card,Jeremy Turner,Sanchezfort
Google,Pixel 7,256GB,Silver,50403.52,27-07-2024,Net Banking,Heather Jones,East Courtneychester
Realme,Realme 9,64GB,Blue,71047.61,08-10-2024,Net Banking,Anthony Decker,Sanchezfort
Motorola,Edge 20,128GB,Green,57471.38,11-05-2024,Debit Card,Vanessa Davis,Wilkersonmouth
Google,Pixel 6,128GB,Black,67706.11,28-11-2024,UPI,Julie Spencer,Saramouth
Samsung,Galaxy A52,256GB,Silver,21221,13-02-2025,Credit Card,Amanda Stout,Evanmouth
Xiaomi,Mi 11X,128GB,Green,23261.38,20-11-2024,Cash,Erica Alvarez,Herrerafurt
OnePlus,9R,128GB,Black,47340.72,09-06-2024,Cash,Joanna Shepherd,Mortonside
Oppo,Reno6,128GB,Black,43742.14,03-03-2025,Credit Card,Miguel Wagner,New Mariotown
Samsung,Galaxy A52,256GB,Blue,81224.26,18-06-2024,Debit Card,Michael Ritter,Lake Debra
Realme,Realme 9,256GB,Silver,22491.34,01-11-2024,Cash,Caitlin Watson,Leeville
Google,Pixel 6,64GB,Black,33033.15,30-07-2024,Debit Card,Raymond Shelton,Saramouth
Google,Pixel 8,128GB,Black,79855.54,02-05-2024,Debit Card,Maria Jones,East Nathaniel
Samsung,Galaxy S21,64GB,Red,67505.66,18-05-2024,Net Banking,Jasmine King,Gomezchester
Samsung,Galaxy S21,128GB,Green,58244.84,08-03-2025,Net Banking,Susan Marks,North Beth
